Age,Pop,Pop in m
0,22601,22.60
1,22687,22.69
2,23094,23.09
3,23349,23.35
4,23577,23.58
5,23779,23.78
6,23753,23.75
7,24106,24.11
8,24559,24.56
9,24759,24.76
10,24937,24.94
11,25075,25.08
12,25103,25.10
13,25075,25.08
14,25116,25.12
15,25281,25.28
16,25558,25.56
17,25756,25.76
18,25870,25.87
19,25947,25.95
20,25784,25.78
21,25420,25.42
22,25164,25.16
23,24999,25.00
24,24808,24.81
25,24632,24.63
26,24423,24.42
27,24135,24.14
28,23890,23.89
29,23659,23.66
30,23321,23.32
31,23051,23.05
32,22849,22.85
33,22553,22.55
34,22306,22.31
35,21921,21.92
36,21429,21.43
37,20968,20.97
38,20449,20.45
39,19994,19.99
40,19505,19.51
41,18916,18.92
42,18325,18.33
43,17862,17.86
44,17561,17.56
45,17204,17.20
46,16824,16.82
47,16459,16.46
48,15995,16.00
49,15534,15.53
50,15070,15.07
51,14615,14.62
52,14222,14.22
53,13815,13.82
54,13362,13.36
55,12927,12.93
56,12548,12.55
57,12171,12.17
58,11755,11.76
59,11322,11.32
60,10879,10.88
61,10427,10.43
62,10001,10.00
63,9601,9.60
64,9181,9.18
65,8748,8.75
66,8311,8.31
67,7850,7.85
68,7364,7.36
69,6872,6.87
70,6382,6.38
71,5900,5.90
72,5192,5.19
73,4529,4.53
74,4133,4.13
75,3762,3.76
76,3411,3.41
77,3089,3.09
78,2792,2.79
79,2519,2.52
80,2265,2.27
81,2029,2.03
82,1809,1.81
83,1590,1.59
84,1367,1.37
85,1153,1.15
86,965,0.97
87,803,0.80
88,661,0.66
89,537,0.54
90,431,0.43
91,339,0.34
92,263,0.26
93,199,0.20
94,148,0.15
95,108,0.11
96,76,0.08
97,53,0.05
98,36,0.04
99,24,0.02
100+,39,0.04
