Year,type,Population
1950,Actual,  353 104
1951,Actual,  360 938
1952,Actual,  368 907
1953,Actual,  377 088
1954,Actual,  385 368
1955,Actual,  394 095
1956,Actual,  403 061
1957,Actual,  412 252
1958,Actual,  421 619
1959,Actual,  430 973
1960,Actual,  440 828
1961,Actual,  451 081
1962,Actual,  461 622
1963,Actual,  472 426
1964,Actual,  483 441
1965,Actual,  494 677
1966,Actual,  505 551
1967,Actual,  516 434
1968,Actual,  527 540
1969,Actual,  539 324
1970,Actual,  551 306
1971,Actual,  563 697
1972,Actual,  576 301
1973,Actual,  589 374
1974,Actual,  602 841
1975,Actual,  616 603
1976,Actual,  630 445
1977,Actual,  644 458
1978,Actual,  658 913
1979,Actual,  673 622
1980,Actual,  688 875
1981,Actual,  704 782
1982,Actual,  720 956
1983,Actual,  737 382
1984,Actual,  754 271
1985,Actual,  771 520
1986,Actual,  788 964
1987,Actual,  806 793
1988,Actual,  824 639
1989,Actual,  842 821
1990,Actual,  861 205
1991,Actual,  879 700
1992,Actual,  898 184
1993,Actual,  916 964
1994,Actual,  935 738
1995,Actual,  954 785
1996,Actual,  973 773
1997,Actual,  992 790
1998,Actual, 1 011 881
1999,Actual, 1 030 988
2000,Actual, 1 050 012
2001,Actual, 1 069 256
2002,Actual, 1 088 686
2003,Actual, 1 107 940
2004,Actual, 1 126 890
2005,Actual, 1 145 639
2006,Actual, 1 163 639
2007,Actual, 1 181 109
2008,Actual, 1 198 275
2009,Actual, 1 215 195
2010,Actual, 1 232 085
2011,Actual, 1 249 142
2012,Actual, 1 266 101
2013,Actual, 1 282 874
2014,Actual, 1 299 390
2015,Actual, 1 315 103
2016,Actual, 1 330 630
2017,Actual, 1 346 642
2018,Actual, 1 361 749
2019,Actual, 1 376 258
2020,Actual, 1 389 966
2021,Actual, 1 402 808
2022,Low variant, 7 941 658
2023,Low variant, 7 994 241
2024,Low variant, 8 053 463
2025,Low variant, 8 112 672
2026,Low variant, 8 171 094
2027,Low variant, 8 228 680
2028,Low variant, 8 276 754
2029,Low variant, 8 323 983
2030,Low variant, 8 370 348
2031,Low variant, 8 415 788
2032,Low variant, 8 460 234
2033,Low variant, 8 497 829
2034,Low variant, 8 534 357
2035,Low variant, 8 569 794
2036,Low variant, 8 604 083
2037,Low variant, 8 637 146
2038,Low variant, 8 669 083
2039,Low variant, 8 699 820
2040,Low variant, 8 729 107
