Year,Actual,Low variant,Medium variant,High variant
1950,353104.28,,,
1951,360937.92,,,
1952,368906.80,,,
1953,377087.58,,,
1954,385367.83,,,
1955,394094.98,,,
1956,403061.00,,,
1957,412252.19,,,
1958,421618.61,,,
1959,430972.92,,,
1960,440827.79,,,
1961,451081.37,,,
1962,461622.38,,,
1963,472426.00,,,
1964,483441.24,,,
1965,494677.38,,,
1966,505551.31,,,
1967,516433.93,,,
1968,527540.21,,,
1969,539323.60,,,
1970,551305.74,,,
1971,563696.87,,,
1972,576301.49,,,
1973,589374.46,,,
1974,602840.51,,,
1975,616603.39,,,
1976,630445.05,,,
1977,644457.85,,,
1978,658913.41,,,
1979,673622.11,,,
1980,688874.65,,,
1981,704782.12,,,
1982,720956.48,,,
1983,737382.45,,,
1984,754270.64,,,
1985,771519.67,,,
1986,788964.50,,,
1987,806793.49,,,
1988,824638.76,,,
1989,842820.60,,,
1990,861204.74,,,
1991,879699.59,,,
1992,898183.93,,,
1993,916964.17,,,
1994,935738.42,,,
1995,954785.50,,,
1996,973772.76,,,
1997,992789.67,,,
1998,1011880.79,,,
1999,1030988.36,,,
2000,1050011.75,,,
2001,1069255.61,,,
2002,1088686.21,,,
2003,1107939.87,,,
2004,1126890.38,,,
2005,1145638.79,,,
2006,1163638.64,,,
2007,1181108.94,,,
2008,1198274.68,,,
2009,1215194.93,,,
2010,1232085.39,,,
2011,1249141.85,,,
2012,1266100.53,,,
2013,1282873.90,,,
2014,1299390.23,,,
2015,1315102.79,,,
2016,1330630.22,,,
2017,1346642.46,,,
2018,1361748.90,,,
2019,1376257.71,,,
2020,1389966.39,,,
2021,1402807.87,,,
2022,,1412319.82,1412319.82,1412319.82
2023,,1419226.17,1422026.53,1424826.87
2024,,1429619.38,1435228.80,1440838.14
2025,,1439779.26,1448210.91,1456642.37
2026,,1449734.65,1461002.54,1472270.10
2027,,1459344.11,1473459.88,1487575.15
2028,,1466996.34,1485697.17,1504397.32
2029,,1474353.58,1497644.93,1520935.48
2030,,1481408.13,1509296.26,1537183.51
2031,,1488202.19,1520691.90,1553180.74
2032,,1494632.34,1531725.88,1568818.72
2033,,1499633.72,1542490.19,1585346.32
2034,,1504278.92,1552889.48,1601500.33
2035,,1508597.30,1562950.13,1617304.15
2036,,1512575.10,1572654.39,1632736.11
2037,,1516164.55,1581951.24,1647741.98
2038,,1519453.34,1590926.01,1662405.59
2039,,1522429.34,1599565.56,1676714.29
2040,,1524988.84,1607764.16,1690561.34
2041,,1527200.92,1615588.51,1704011.08
2042,,1529072.07,1623048.22,1717079.90
2043,,1530563.63,1630122.54,1729778.97
2044,,1531580.37,1636738.52,1742075.17
2045,,1532146.20,1642937.02,1754039.23
2046,,1532317.37,1648789.35,1765768.12
2047,,1532022.15,1654238.17,1777230.29
2048,,1531270.70,1659315.92,1788496.69
2049,,1530110.59,1664095.40,1799682.42
2050,,1528427.58,1668474.59,1810710.88
2051,,1526259.17,1672506.60,1821660.90
2052,,1523585.89,1676180.66,1832539.05
2053,,1520459.43,1679565.09,1843439.66
2054,,1516801.07,1682581.25,1854291.50
2055,,1512698.05,1685328.83,1865208.98
2056,,1508143.30,1687797.88,1876177.99
2057,,1503144.10,1689990.87,1887192.63
2058,,1497698.61,1691894.56,1898222.24
2059,,1491822.53,1693514.09,1909252.38
2060,,1485480.59,1694786.43,1920181.04
2061,,1478747.90,1695784.56,1931066.88
2062,,1471599.70,1696458.47,1941822.75
2063,,1464133.83,1696911.36,1952545.61
2064,,1456287.52,1697042.01,1963084.02
2065,,1448099.94,1696880.74,1973448.13
2066,,1439557.03,1696387.65,1983562.46
2067,,1430670.37,1695559.65,1993402.22
2068,,1421476.80,1694434.36,2003001.12
2069,,1411970.61,1692990.94,2012320.70
2070,,1402184.62,1691267.12,2021403.93
2071,,1392074.88,1689194.44,2030160.81
2072,,1381660.55,1686786.14,2038604.67
2073,,1370939.31,1684044.06,2046749.92
2074,,1359995.08,1681084.96,2054757.67
2075,,1348759.99,1677813.54,2062516.64
2076,,1337252.66,1674256.17,2070074.98
2077,,1325457.64,1670400.58,2077438.28
2078,,1313417.83,1666303.60,2084692.82
2079,,1301081.50,1661897.25,2091767.06
2080,,1288517.24,1657288.34,2098822.80
2081,,1275688.13,1652425.52,2105804.82
2082,,1262588.96,1647300.03,2112710.17
2083,,1249318.74,1642056.00,2119742.57
2084,,1235862.31,1636673.54,2126883.05
2085,,1222192.65,1631104.31,2134061.90
2086,,1208337.63,1625380.95,2141318.11
2087,,1194286.64,1619474.16,2148598.09
2088,,1180074.36,1613429.65,2155956.78
2089,,1165740.09,1607302.42,2163462.88
2090,,1151295.22,1601089.20,2171087.59
2091,,1136708.55,1594728.52,2178722.82
2092,,1122004.68,1588241.11,2186374.52
2093,,1107208.92,1581645.13,2194041.48
2094,,1092342.79,1574947.28,2201701.41
2095,,1077438.29,1568191.62,2209404.82
2096,,1062525.98,1561403.05,2217161.36
2097,,1047566.34,1554487.39,2224798.76
2098,,1032600.34,1547513.23,2232417.26
2099,,1017641.61,1540467.23,2239965.03
2100,,1002729.96,1533399.70,2247505.92
